Filename        | Size (bytes) | CRC32
---------------------------------------------
a71-25.41       | 256          | 2D0F8545
a78-01.17       | 4096         | B1BFB53D
a78-05-1.52     | 65536        | 9F8EE242
a78-06-1.51     | 32768        | 567934B6
a78-07.46       | 32768        | 4F9A26E8
a78-08.37       | 32768        | AE11A07B
a78-09.12       | 32768        | 20358C22
a78-10.13       | 32768        | 930168A9
a78-11.14       | 32768        | 9773E512
a78-12.15       | 32768        | D045549B
a78-13.16       | 32768        | D0AF35C5
a78-14.17       | 32768        | 7B5369A8
a78-15.30       | 32768        | 6B61A413
a78-16.31       | 32768        | B5492D97
a78-17.32       | 32768        | D69762D5
a78-18.33       | 32768        | 9F243B68
a78-19.34       | 32768        | 66E9438C
a78-20.35       | 32768        | 9EF863AD
bb3             | 32768        | 01F81936
bb4             | 32768        | AFDA99D8
bb5             | 32768        | 13118EB1
pal16l8.u38     | 260          | C02D9663
pal16l8.u4      | 260          | 077D20A8
pal16r4.u36     | 260          | 22FE26AC
